EventType,MR.GsmNcellBcc,MR.GsmNcellBcch,MR.GsmNcellCarrierRSSI,MR.GsmNcellNcc,MR.LteNcEarfcn,MR.LteNcPci,MR.LteNcRSRP,MR.LteNcRSRQ,MR.LteScCgi,MR.LteScEarfcn,MR.LteScPci,MR.LteScRSRP,MR.LteScRSRQ,MR.UtraCarrierRSSI,MR.UtraCellParameterId,MR.UtraCpichEcNo,MR.UtraCpichRSCP,MmeCode,MmeGroupId,MmeUeS1apId,TimeStamp,endTime,fileFormatVersion,id,jobid,period,reportTime,startTime
A3,NIL,NIL,NIL,NIL,1650,349,55,5,46000077256611,19650,350,56,10,NIL,NIL,NIL,NIL,194,39424,436214478,2017-11-06T01:14:59.841,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,53,3,46000077256611,19650,350,54,9,NIL,NIL,NIL,NIL,194,39424,167802337,2017-11-06T01:14:59.850,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,60,6,46000077256611,19650,350,60,7,NIL,NIL,NIL,NIL,194,39424,167788888,2017-11-06T01:14:59.863,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,41,4,46000077256611,19650,350,39,3,NIL,NIL,NIL,NIL,194,39424,352344374,2017-11-06T01:14:59.951,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,55,3,46000077256611,19650,350,58,8,NIL,NIL,NIL,NIL,194,39424,352351550,2017-11-06T01:15:00.012,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,50,11,46000077256611,19650,350,52,9,NIL,NIL,NIL,NIL,194,39424,352381652,2017-11-06T01:15:00.039,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,45,4,46000077256611,19650,350,45,7,NIL,NIL,NIL,NIL,194,39424,469842165,2017-11-06T01:15:00.097,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,52,9,46000077256611,19650,350,51,7,NIL,NIL,NIL,NIL,194,39424,469840648,2017-11-06T01:15:00.326,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,324,29,10,46000077256611,19650,350,24,6,NIL,NIL,NIL,NIL,194,39424,3511,2017-11-06T01:15:00.327,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A5,NIL,NIL,NIL,NIL,1650,324,29,10,46000077256611,19650,350,24,5,NIL,NIL,NIL,NIL,194,39424,3511,2017-11-06T01:15:00.535,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
