MR.RIPPRB.00,MR.RIPPRB.01,MR.RIPPRB.02,MR.RIPPRB.03,MR.RIPPRB.04,MR.RIPPRB.05,MR.RIPPRB.06,MR.RIPPRB.07,MR.RIPPRB.08,MR.RIPPRB.09,MR.RIPPRB.10,MR.RIPPRB.11,MR.RIPPRB.12,MR.RIPPRB.13,MR.RIPPRB.14,MR.RIPPRB.15,MR.RIPPRB.16,MR.RIPPRB.17,MR.RIPPRB.18,MR.RIPPRB.19,MR.RIPPRB.20,MR.RIPPRB.21,MR.RIPPRB.22,MR.RIPPRB.23,MR.RIPPRB.24,MR.RIPPRB.25,MR.RIPPRB.26,MR.RIPPRB.27,MR.RIPPRB.28,MR.RIPPRB.29,MR.RIPPRB.30,MR.RIPPRB.31,MR.RIPPRB.32,MR.RIPPRB.33,MR.RIPPRB.34,MR.RIPPRB.35,MR.RIPPRB.36,MR.RIPPRB.37,MR.RIPPRB.38,MR.RIPPRB.39,MR.RIPPRB.40,MR.RIPPRB.41,MR.RIPPRB.42,MR.RIPPRB.43,MR.RIPPRB.44,MR.RIPPRB.45,MR.RIPPRB.46,MR.RIPPRB.47,MR.RIPPRB.48,MR.RIPPRB.49,MR.RIPPRB.50,MR.RIPPRB.51,MR.RIPPRB.52,endTime,fileFormatVersion,id,period,reportTime,startTime
0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:0:0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,3,5,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:0:1,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,1,5,4,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:0:2,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,1,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:0:3,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:0:4,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:0:5,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:0:6,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,3,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:0:7,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:0:8,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:0:9,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
